Artikel;article_description;Bruttobetrag;Nettobetrag;Verkaufte_Stücke;Gewicht_verkauft;Durchschnittlicher_Preis;umsatz_tot;origin;year;date
A10012;Kitchen 2;141;141;13;NA;10.85;4.3;29.10.csv;2015;29.10.2015
A10013;Kitchen 3;350;350;28;NA;12.5;10.67;29.10.csv;2015;29.10.2015
A10020;Local 0;275;275;35;NA;7.86;8.39;29.10.csv;2015;29.10.2015
A10030;Market;58.8;58.8;8;2.552;23.04;1.79;29.10.csv;2015;29.10.2015
A10040;Garden;38.8;38.8;6;1.688;22.99;1.18;29.10.csv;2015;29.10.2015
A10063;Frucht 1.00;12;12;12;NA;1;0.37;29.10.csv;2015;29.10.2015
A10072;Schichtjoghurt;3;3;1;NA;3;0.09;29.10.csv;2015;29.10.2015
A10100;Gipfel;7.8;7.8;6;NA;1.3;0.24;29.10.csv;2015;29.10.2015
A10112;Maisbrötli;10.2;10.2;6;NA;1.7;0.31;29.10.csv;2015;29.10.2015
A10119;Studentenschnitte;7.2;7.2;3;NA;2.4;0.22;29.10.csv;2015;29.10.2015
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.07;29.10.csv;2015;29.10.2015
A10135;Wähe;3.9;3.9;1;NA;3.9;0.12;29.10.csv;2015;29.10.2015
A10144;Trockengebäck 100g verpackt;4.4;4.4;2;NA;2.2;0.13;29.10.csv;2015;29.10.2015
A10148;Fruchttörtli;7.2;7.2;3;NA;2.4;0.22;29.10.csv;2015;29.10.2015
A10200;Birchermüesli Classic;9.6;9.6;3;NA;3.2;0.29;29.10.csv;2015;29.10.2015
A10410;Sandwich Milano;4;4;1;NA;4;0.12;29.10.csv;2015;29.10.2015
A10413;Sandwich Start Your Day;9;9;2;NA;4.5;0.27;29.10.csv;2015;29.10.2015
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.17;29.10.csv;2015;29.10.2015
A10415;Sandwich Turkey;11;11;2;NA;5.5;0.34;29.10.csv;2015;29.10.2015
A10416;Sandwich Ticinese;12;12;2;NA;6;0.37;29.10.csv;2015;29.10.2015
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.17;29.10.csv;2015;29.10.2015
A10450;Sandwich Laugenkaiser;4;4;1;NA;4;0.12;29.10.csv;2015;29.10.2015
A10451;Sandwich Bauette;10;10;2;NA;5;0.3;29.10.csv;2015;29.10.2015
A10000;Catering;213.4;213.4;52;NA;4.1;9.91;30.10.csv;2015;30.10.2015
A10001;Favorite;574;574;76;NA;7.55;26.66;30.10.csv;2015;30.10.2015
A10002;Green;249;249;33;NA;7.55;11.56;30.10.csv;2015;30.10.2015
A10005;Menu Suppe;4.5;4.5;3;NA;1.5;0.21;30.10.csv;2015;30.10.2015
A10006;Menu Salat;52.5;52.5;35;NA;1.5;2.44;30.10.csv;2015;30.10.2015
A10014;Kitchen 4;333;333;26;NA;12.81;15.47;30.10.csv;2015;30.10.2015
A10020;Local 0;179;179;24;NA;7.46;8.31;30.10.csv;2015;30.10.2015
A10030;Market;29.7;29.7;4;1.214;24.46;1.38;30.10.csv;2015;30.10.2015
A10040;Garden;57.1;57.1;7;2.476;23.06;2.65;30.10.csv;2015;30.10.2015
A10063;Frucht 1.00;1;1;1;NA;1;0.05;30.10.csv;2015;30.10.2015
A100700;Yogi;1.6;1.6;1;NA;1.6;0.07;30.10.csv;2015;30.10.2015
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.11;30.10.csv;2015;30.10.2015
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.11;30.10.csv;2015;30.10.2015
A10111;Schoggi Fair;2.2;2.2;1;NA;2.2;0.1;30.10.csv;2015;30.10.2015
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.15;30.10.csv;2015;30.10.2015
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.26;30.10.csv;2015;30.10.2015
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.26;30.10.csv;2015;30.10.2015
A10451;Sandwich Bauette;5;5;1;NA;5;0.23;30.10.csv;2015;30.10.2015
L18000;Huusbrot 1kg;129.6;129.6;27;NA;4.8;6.02;30.10.csv;2015;30.10.2015
L18006;Käseplatte 800g;64;64;2;NA;32;2.97;30.10.csv;2015;30.10.2015
L18007;Aufschnitt- / Wurstplatte 800g;56;56;2;NA;28;2.6;30.10.csv;2015;30.10.2015
L18009;Butter Portionen 10g 96Stk.;24;24;1;NA;24;1.11;30.10.csv;2015;30.10.2015
L18012;Chocos Kellogs Superpack 8x600g;55;55;1;NA;55;2.55;30.10.csv;2015;30.10.2015
L18013;Smacks Kellogs Superpack 8x600g;41;41;1;NA;41;1.9;30.10.csv;2015;30.10.2015
L18014;Joghurt diverse Sorten 3kg;62.5;62.5;5;NA;12.5;2.9;30.10.csv;2015;30.10.2015
A10000;Catering;16.3;16.3;3;NA;5.43;0.73;02.11.csv;2015;02.11.2015
A10001;Favorite;552;552;73;NA;7.56;24.85;02.11.csv;2015;02.11.2015
A10002;Green;624;624;83;NA;7.52;28.09;02.11.csv;2015;02.11.2015
A10004;Brot Stück;0.3;0.3;1;NA;0.3;0.01;02.11.csv;2015;02.11.2015
A10005;Menu Suppe;7.5;7.5;5;NA;1.5;0.34;02.11.csv;2015;02.11.2015
A10006;Menu Salat;108.5;108.5;69;NA;1.57;4.88;02.11.csv;2015;02.11.2015
A10011;Kitchen 1;254;254;26;NA;9.77;11.43;02.11.csv;2015;02.11.2015
A10013;Kitchen 3;100;100;8;NA;12.5;4.5;02.11.csv;2015;02.11.2015
A10020;Local 0;418;418;56;NA;7.46;18.82;02.11.csv;2015;02.11.2015
A10030;Market;39.8;39.8;5;1.692;23.52;1.79;02.11.csv;2015;02.11.2015
A10040;Garden;40;40;6;1.74;22.99;1.8;02.11.csv;2015;02.11.2015
A10063;Frucht 1.00;1;1;1;NA;1;0.05;02.11.csv;2015;02.11.2015
A10070;Yogurt 150g;2.1;2.1;1;NA;2.1;0.09;02.11.csv;2015;02.11.2015
A10072;Schichtjoghurt;3;3;1;NA;3;0.14;02.11.csv;2015;02.11.2015
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.32;02.11.csv;2015;02.11.2015
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.11;02.11.csv;2015;02.11.2015
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.11;02.11.csv;2015;02.11.2015
A10119;Studentenschnitte;2.9;2.9;1;NA;2.9;0.13;02.11.csv;2015;02.11.2015
A10135;Wähe;7.8;7.8;2;NA;3.9;0.35;02.11.csv;2015;02.11.2015
A10411;Sandwich Power Ham;4;4;1;NA;4;0.18;02.11.csv;2015;02.11.2015
A10413;Sandwich Start Your Day;5;5;1;NA;5;0.23;02.11.csv;2015;02.11.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.27;02.11.csv;2015;02.11.2015
A10425;Sandwich Italien;12.5;12.5;2;NA;6.25;0.56;02.11.csv;2015;02.11.2015
A10451;Sandwich Bauette;5;5;1;NA;5;0.23;02.11.csv;2015;02.11.2015
A10000;Catering;10.3;10.3;1;NA;10.3;0.42;03.11.csv;2015;03.11.2015
A10001;Favorite;716;716;93;NA;7.7;29.14;03.11.csv;2015;03.11.2015
A10002;Green;775;775;103;NA;7.52;31.54;03.11.csv;2015;03.11.2015
A10005;Menu Suppe;19.5;19.5;13;NA;1.5;0.79;03.11.csv;2015;03.11.2015
A10006;Menu Salat;83;83;54;NA;1.54;3.38;03.11.csv;2015;03.11.2015
A10007;Senf Mayo Ketschup;1;1;2;NA;0.5;0.04;03.11.csv;2015;03.11.2015
A10011;Kitchen 1;310;310;32;NA;9.69;12.62;03.11.csv;2015;03.11.2015
A10020;Local 0;295;295;39;NA;7.56;12.01;03.11.csv;2015;03.11.2015
A10030;Market;100.3;100.3;14;4.358;23.02;4.08;03.11.csv;2015;03.11.2015
A10040;Garden;57.9;57.9;7;2.514;23.03;2.36;03.11.csv;2015;03.11.2015
A10061;Frucht -.80;0.8;0.8;1;NA;0.8;0.03;03.11.csv;2015;03.11.2015
A10063;Frucht 1.00;2;2;2;NA;1;0.08;03.11.csv;2015;03.11.2015
A10073;Saisonfrüchte geschnitten;3.5;3.5;1;NA;3.5;0.14;03.11.csv;2015;03.11.2015
A10135;Wähe;11.7;11.7;3;NA;3.9;0.48;03.11.csv;2015;03.11.2015
A10144;Trockengebäck 100g verpackt;11.5;11.5;5;NA;2.3;0.47;03.11.csv;2015;03.11.2015
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.13;03.11.csv;2015;03.11.2015
A10410;Sandwich Milano;12;12;3;NA;4;0.49;03.11.csv;2015;03.11.2015
A10415;Sandwich Turkey;6;6;1;NA;6;0.24;03.11.csv;2015;03.11.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.24;03.11.csv;2015;03.11.2015
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.22;03.11.csv;2015;03.11.2015
A10438;FB Sandwich Ham & Co;5.5;5.5;1;NA;5.5;0.22;03.11.csv;2015;03.11.2015
A10441;FB Sandwich Ham & Cheese;11;11;2;NA;5.5;0.45;03.11.csv;2015;03.11.2015
A10442;FB Sandwich Neptun;5.5;5.5;1;NA;5.5;0.22;03.11.csv;2015;03.11.2015
A10451;Sandwich Bauette;5;5;1;NA;5;0.2;03.11.csv;2015;03.11.2015
A10000;Catering;22.6;22.6;2;NA;11.3;0.94;04.11.csv;2015;04.11.2015
A10001;Favorite;897;897;117;NA;7.67;37.26;04.11.csv;2015;04.11.2015
A10002;Green;520;520;67;NA;7.76;21.6;04.11.csv;2015;04.11.2015
A10005;Menu Suppe;1.5;1.5;1;NA;1.5;0.06;04.11.csv;2015;04.11.2015
A10006;Menu Salat;48;48;32;NA;1.5;1.99;04.11.csv;2015;04.11.2015
A10007;Senf Mayo Ketschup;2;2;4;NA;0.5;0.08;04.11.csv;2015;04.11.2015
A10011;Kitchen 1;119;119;12;NA;9.92;4.94;04.11.csv;2015;04.11.2015
A10013;Kitchen 3;282;282;24;NA;11.75;11.71;04.11.csv;2015;04.11.2015
A10020;Local 0;316;316;42;NA;7.52;13.12;04.11.csv;2015;04.11.2015
A10030;Market;54.3;54.3;8;2.358;23.03;2.26;04.11.csv;2015;04.11.2015
A10040;Garden;32.6;32.6;5;1.418;22.99;1.35;04.11.csv;2015;04.11.2015
A10074;Milchreis;2.3;2.3;1;NA;2.3;0.1;04.11.csv;2015;04.11.2015
A10100;Gipfel;1.3;1.3;1;NA;1.3;0.05;04.11.csv;2015;04.11.2015
A10101;Ragusa-Gipfel;7.2;7.2;3;NA;2.4;0.3;04.11.csv;2015;04.11.2015
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.1;04.11.csv;2015;04.11.2015
A10135;Wähe;3.9;3.9;1;NA;3.9;0.16;04.11.csv;2015;04.11.2015
A10144;Trockengebäck 100g verpackt;4.4;4.4;2;NA;2.2;0.18;04.11.csv;2015;04.11.2015
A10148;Fruchttörtli;4.8;4.8;2;NA;2.4;0.2;04.11.csv;2015;04.11.2015
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.27;04.11.csv;2015;04.11.2015
A10410;Sandwich Milano;8;8;2;NA;4;0.33;04.11.csv;2015;04.11.2015
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.19;04.11.csv;2015;04.11.2015
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.23;04.11.csv;2015;04.11.2015
A10415;Sandwich Turkey;22;22;4;NA;5.5;0.91;04.11.csv;2015;04.11.2015
A10430;Bagel Sandwich Fisherman's Catch;5.5;5.5;1;NA;5.5;0.23;04.11.csv;2015;04.11.2015
A10442;FB Sandwich Neptun;11;11;2;NA;5.5;0.46;04.11.csv;2015;04.11.2015
A10450;Sandwich Laugenkaiser;8;8;2;NA;4;0.33;04.11.csv;2015;04.11.2015
A10451;Sandwich Bauette;15.5;15.5;3;NA;5.17;0.64;04.11.csv;2015;04.11.2015
A10000;Catering;10.8;10.8;3;NA;3.6;0.58;05.11.csv;2015;05.11.2015
A10001;Favorite;547;547;70;NA;7.81;29.61;05.11.csv;2015;05.11.2015
A10002;Green;394;394;53;NA;7.43;21.33;05.11.csv;2015;05.11.2015
A10005;Menu Suppe;6;6;4;NA;1.5;0.32;05.11.csv;2015;05.11.2015
A10006;Menu Salat;43.5;43.5;29;NA;1.5;2.35;05.11.csv;2015;05.11.2015
A10014;Kitchen 4;102;102;8;NA;12.75;5.52;05.11.csv;2015;05.11.2015
A10020;Local 0;448;448;59;NA;7.59;24.25;05.11.csv;2015;05.11.2015
A10030;Market;53.9;53.9;8;2.342;23.01;2.92;05.11.csv;2015;05.11.2015
A10040;Garden;93.4;93.4;12;3.934;23.74;5.06;05.11.csv;2015;05.11.2015
A10072;Schichtjoghurt;6;6;2;NA;3;0.32;05.11.csv;2015;05.11.2015
A10073;Saisonfrüchte geschnitten;3.5;3.5;1;NA;3.5;0.19;05.11.csv;2015;05.11.2015
A10101;Ragusa-Gipfel;7.7;7.7;3;NA;2.57;0.42;05.11.csv;2015;05.11.2015
A10111;Schoggi Fair;2.2;2.2;1;NA;2.2;0.12;05.11.csv;2015;05.11.2015
A10114;Fitnessbrötli;1.7;1.7;1;NA;1.7;0.09;05.11.csv;2015;05.11.2015
A10121;Mandelschnecke;2.9;2.9;1;NA;2.9;0.16;05.11.csv;2015;05.11.2015
A10122;Nussbrille;2.4;2.4;1;NA;2.4;0.13;05.11.csv;2015;05.11.2015
A10130;Vanillekreuz;2.4;2.4;1;NA;2.4;0.13;05.11.csv;2015;05.11.2015
A10135;Wähe;7.8;7.8;2;NA;3.9;0.42;05.11.csv;2015;05.11.2015
A10200;Birchermüesli Classic;12.8;12.8;4;NA;3.2;0.69;05.11.csv;2015;05.11.2015
A10410;Sandwich Milano;12;12;3;NA;4;0.65;05.11.csv;2015;05.11.2015
A10411;Sandwich Power Ham;8;8;2;NA;4;0.43;05.11.csv;2015;05.11.2015
A10414;Sandwich Ham & Cheese;22.5;22.5;4;NA;5.63;1.22;05.11.csv;2015;05.11.2015
A10415;Sandwich Turkey;16.5;16.5;3;NA;5.5;0.89;05.11.csv;2015;05.11.2015
A10416;Sandwich Ticinese;19.5;19.5;3;NA;6.5;1.06;05.11.csv;2015;05.11.2015
A10438;FB Sandwich Ham & Co;11;11;2;NA;5.5;0.6;05.11.csv;2015;05.11.2015
A10451;Sandwich Bauette;10;10;2;NA;5;0.54;05.11.csv;2015;05.11.2015
A10000;Catering;43;43;6;NA;7.17;3.12;06.11.csv;2015;06.11.2015
A10001;Favorite;398;398;51;NA;7.8;28.89;06.11.csv;2015;06.11.2015
A10002;Green;287;287;39;NA;7.36;20.83;06.11.csv;2015;06.11.2015
A10005;Menu Suppe;3;3;2;NA;1.5;0.22;06.11.csv;2015;06.11.2015
A10006;Menu Salat;33;33;22;NA;1.5;2.4;06.11.csv;2015;06.11.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.04;06.11.csv;2015;06.11.2015
A10014;Kitchen 4;417;417;33;NA;12.64;30.27;06.11.csv;2015;06.11.2015
A10020;Local 0;119;119;16;NA;7.44;8.64;06.11.csv;2015;06.11.2015
A10040;Garden;33.3;33.3;4;1.402;23.75;2.42;06.11.csv;2015;06.11.2015
A10063;Frucht 1.00;2;2;2;NA;1;0.15;06.11.csv;2015;06.11.2015
A100700;Yogi;1.6;1.6;1;NA;1.6;0.12;06.11.csv;2015;06.11.2015
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10123;Russenzöpfli;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10126;Apfel im Schlafrock;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10127;Aprikosenplunder;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10128;Aprikosenjalousie;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10131;Vanille/Apfelstange;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.17;06.11.csv;2015;06.11.2015
A10200;Birchermüesli Classic;3.7;3.7;1;NA;3.7;0.27;06.11.csv;2015;06.11.2015
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.4;06.11.csv;2015;06.11.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.44;06.11.csv;2015;06.11.2015
A10430;Bagel Sandwich Fisherman's Catch;6;6;1;NA;6;0.44;06.11.csv;2015;06.11.2015
A10000;Catering;26;26;7;NA;3.71;1.18;09.11.csv;2015;09.11.2015
A10001;Favorite;945;945;121;NA;7.81;42.9;09.11.csv;2015;09.11.2015
A10002;Green;684;684;91;NA;7.52;31.05;09.11.csv;2015;09.11.2015
A10005;Menu Suppe;16.5;16.5;11;NA;1.5;0.75;09.11.csv;2015;09.11.2015
A10006;Menu Salat;60.5;60.5;35;NA;1.73;2.75;09.11.csv;2015;09.11.2015
A10012;Kitchen 2;271;271;25;NA;10.84;12.3;09.11.csv;2015;09.11.2015
A10030;Market;48.5;48.5;6;2.11;22.99;2.2;09.11.csv;2015;09.11.2015
A10040;Garden;38.8;38.8;6;1.688;22.99;1.76;09.11.csv;2015;09.11.2015
A10061;Frucht -.80;0.8;0.8;1;NA;0.8;0.04;09.11.csv;2015;09.11.2015
A10063;Frucht 1.00;4;4;4;NA;1;0.18;09.11.csv;2015;09.11.2015
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.32;09.11.csv;2015;09.11.2015
A10119;Studentenschnitte;2.4;2.4;1;NA;2.4;0.11;09.11.csv;2015;09.11.2015
A10129;Aprikosen-Bögli;2.4;2.4;1;NA;2.4;0.11;09.11.csv;2015;09.11.2015
A10130;Vanillekreuz;2.9;2.9;1;NA;2.9;0.13;09.11.csv;2015;09.11.2015
A10135;Wähe;8.8;8.8;2;NA;4.4;0.4;09.11.csv;2015;09.11.2015
A10144;Trockengebäck 100g verpackt;4.4;4.4;2;NA;2.2;0.2;09.11.csv;2015;09.11.2015
A10200;Birchermüesli Classic;12.8;12.8;4;NA;3.2;0.58;09.11.csv;2015;09.11.2015
A10410;Sandwich Milano;8;8;2;NA;4;0.36;09.11.csv;2015;09.11.2015
A10413;Sandwich Start Your Day;13.5;13.5;3;NA;4.5;0.61;09.11.csv;2015;09.11.2015
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.25;09.11.csv;2015;09.11.2015
A10415;Sandwich Turkey;11;11;2;NA;5.5;0.5;09.11.csv;2015;09.11.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.27;09.11.csv;2015;09.11.2015
A10450;Sandwich Laugenkaiser;8;8;2;NA;4;0.36;09.11.csv;2015;09.11.2015
A10451;Sandwich Bauette;15;15;3;NA;5;0.68;09.11.csv;2015;09.11.2015
A10000;Catering;64;64;13;NA;4.92;2.85;10.11.csv;2015;10.11.2015
A10001;Favorite;783;783;101;NA;7.75;34.81;10.11.csv;2015;10.11.2015
A10002;Green;610;610;80;NA;7.63;27.12;10.11.csv;2015;10.11.2015
A10004;Brot Stück;0.6;0.6;2;NA;0.3;0.03;10.11.csv;2015;10.11.2015
A10005;Menu Suppe;12;12;8;NA;1.5;0.53;10.11.csv;2015;10.11.2015
A10006;Menu Salat;33;33;20;NA;1.65;1.47;10.11.csv;2015;10.11.2015
A10012;Kitchen 2;327;327;30;NA;10.9;14.54;10.11.csv;2015;10.11.2015
A10020;Local 0;186;186;25;NA;7.44;8.27;10.11.csv;2015;10.11.2015
A10030;Market;29.4;29.4;4;1.278;23;1.31;10.11.csv;2015;10.11.2015
A10040;Garden;105;105;16;4.51;23.28;4.67;10.11.csv;2015;10.11.2015
A10061;Frucht -.80;2.4;2.4;3;NA;0.8;0.11;10.11.csv;2015;10.11.2015
A10063;Frucht 1.00;1;1;1;NA;1;0.04;10.11.csv;2015;10.11.2015
A10101;Ragusa-Gipfel;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015
A10108;Laugenbrezel mit Butter;8.8;8.8;4;NA;2.2;0.39;10.11.csv;2015;10.11.2015
A10112;Maisbrötli;1.7;1.7;1;NA;1.7;0.08;10.11.csv;2015;10.11.2015
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015
A10122;Nussbrille;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015
A10124;Kirschenstange;2.9;2.9;1;NA;2.9;0.13;10.11.csv;2015;10.11.2015
A10125;Nussstange;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015
A10127;Aprikosenplunder;2.9;2.9;1;NA;2.9;0.13;10.11.csv;2015;10.11.2015
A10129;Aprikosen-Bögli;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015
A10130;Vanillekreuz;4.8;4.8;2;NA;2.4;0.21;10.11.csv;2015;10.11.2015
A10136;Muffin;2.5;2.5;1;NA;2.5;0.11;10.11.csv;2015;10.11.2015
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.11;10.11.csv;2015;10.11.2015
A10161;Muffin gross;3;3;1;NA;3;0.13;10.11.csv;2015;10.11.2015
A10200;Birchermüesli Classic;12.8;12.8;4;NA;3.2;0.57;10.11.csv;2015;10.11.2015
A10410;Sandwich Milano;8;8;2;NA;4;0.36;10.11.csv;2015;10.11.2015
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.24;10.11.csv;2015;10.11.2015
A10416;Sandwich Ticinese;12;12;2;NA;6;0.53;10.11.csv;2015;10.11.2015
A10430;Bagel Sandwich Fisherman's Catch;16.5;16.5;3;NA;5.5;0.73;10.11.csv;2015;10.11.2015
A10000;Catering;6.5;6.5;2;NA;3.25;0.3;11.11.csv;2015;11.11.2015
A10001;Favorite;1107;1107;142;NA;7.8;50.76;11.11.csv;2015;11.11.2015
A10002;Green;389;389;51;NA;7.63;17.84;11.11.csv;2015;11.11.2015
A100039;Portion Pommes;5.5;5.5;1;NA;5.5;0.25;11.11.csv;2015;11.11.2015
A10005;Menu Suppe;4.5;4.5;3;NA;1.5;0.21;11.11.csv;2015;11.11.2015
A10006;Menu Salat;66;66;42;NA;1.57;3.03;11.11.csv;2015;11.11.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;11.11.csv;2015;11.11.2015
A10013;Kitchen 3;340;340;29;NA;11.72;15.59;11.11.csv;2015;11.11.2015
A10020;Local 0;138;138;18;NA;7.67;6.33;11.11.csv;2015;11.11.2015
A10030;Market;45.9;45.9;5;1.992;23.04;2.1;11.11.csv;2015;11.11.2015
A10040;Garden;32.2;32.2;4;1.402;22.97;1.48;11.11.csv;2015;11.11.2015
A10063;Frucht 1.00;2;2;2;NA;1;0.09;11.11.csv;2015;11.11.2015
A100700;Yogi;1.6;1.6;1;NA;1.6;0.07;11.11.csv;2015;11.11.2015
A10108;Laugenbrezel mit Butter;2.4;2.4;1;NA;2.4;0.11;11.11.csv;2015;11.11.2015
A10120;Mandelbrezel;2.9;2.9;1;NA;2.9;0.13;11.11.csv;2015;11.11.2015
A10135;Wähe;7.8;7.8;2;NA;3.9;0.36;11.11.csv;2015;11.11.2015
A10200;Birchermüesli Classic;3.2;3.2;1;NA;3.2;0.15;11.11.csv;2015;11.11.2015
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.21;11.11.csv;2015;11.11.2015
A10414;Sandwich Ham & Cheese;5.5;5.5;1;NA;5.5;0.25;11.11.csv;2015;11.11.2015
A10416;Sandwich Ticinese;6;6;1;NA;6;0.28;11.11.csv;2015;11.11.2015
A10451;Sandwich Bauette;10;10;2;NA;5;0.46;11.11.csv;2015;11.11.2015
A10000;Catering;16;16;11;NA;1.45;0.62;12.11.csv;2015;12.11.2015
A10001;Favorite;679;679;84;NA;8.08;26.21;12.11.csv;2015;12.11.2015
A10002;Green;737;737;91;NA;8.1;28.45;12.11.csv;2015;12.11.2015
A10003;nur Fleisch Favorite;6;6;1;NA;6;0.23;12.11.csv;2015;12.11.2015
A100039;Portion Pommes;7.5;7.5;1;NA;7.5;0.29;12.11.csv;2015;12.11.2015
A10005;Menu Suppe;16.5;16.5;11;NA;1.5;0.64;12.11.csv;2015;12.11.2015
A10006;Menu Salat;77;77;46;NA;1.67;2.97;12.11.csv;2015;12.11.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;12.11.csv;2015;12.11.2015
A10011;Kitchen 1;311;311;31;NA;10.03;12;12.11.csv;2015;12.11.2015
A10020;Local 0;577;577;74;NA;7.8;22.27;12.11.csv;2015;12.11.2015
A10030;Market;58.1;58.1;9;2.44;23.81;2.24;12.11.csv;2015;12.11.2015
A10040;Garden;24.2;24.2;3;1.056;22.92;0.93;12.11.csv;2015;12.11.2015
A10063;Frucht 1.00;1;1;1;NA;1;0.04;12.11.csv;2015;12.11.2015
A10073;Saisonfrüchte geschnitten;7;7;2;NA;3.5;0.27;12.11.csv;2015;12.11.2015
A10103;Vanille-Gipfel;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015
A10108;Laugenbrezel mit Butter;2.2;2.2;1;NA;2.2;0.08;12.11.csv;2015;12.11.2015
A10114;Fitnessbrötli;3.4;3.4;2;NA;1.7;0.13;12.11.csv;2015;12.11.2015
A10120;Mandelbrezel;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015
A10121;Mandelschnecke;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015
A10124;Kirschenstange;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015
A10129;Aprikosen-Bögli;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015
A10135;Wähe;3.9;3.9;1;NA;3.9;0.15;12.11.csv;2015;12.11.2015
A10148;Fruchttörtli;2.4;2.4;1;NA;2.4;0.09;12.11.csv;2015;12.11.2015
A10162;Bienenstich;4.8;4.8;2;NA;2.4;0.19;12.11.csv;2015;12.11.2015
A10200;Birchermüesli Classic;6.4;6.4;2;NA;3.2;0.25;12.11.csv;2015;12.11.2015
A10410;Sandwich Milano;8;8;2;NA;4;0.31;12.11.csv;2015;12.11.2015
A10411;Sandwich Power Ham;4;4;1;NA;4;0.15;12.11.csv;2015;12.11.2015
A10413;Sandwich Start Your Day;4.5;4.5;1;NA;4.5;0.17;12.11.csv;2015;12.11.2015
A10415;Sandwich Turkey;5.5;5.5;1;NA;5.5;0.21;12.11.csv;2015;12.11.2015
A10416;Sandwich Ticinese;12;12;2;NA;6;0.46;12.11.csv;2015;12.11.2015
A10450;Sandwich Laugenkaiser;4;4;1;NA;4;0.15;12.11.csv;2015;12.11.2015
A10000;Catering;20.4;20.4;4;NA;5.1;0.94;13.11.csv;2015;13.11.2015
A10001;Favorite;828;828;107;NA;7.74;38.06;13.11.csv;2015;13.11.2015
A10002;Green;320;320;41;NA;7.8;14.71;13.11.csv;2015;13.11.2015
A10005;Menu Suppe;4.5;4.5;3;NA;1.5;0.21;13.11.csv;2015;13.11.2015
A10006;Menu Salat;87.5;87.5;57;NA;1.54;4.02;13.11.csv;2015;13.11.2015
A10007;Senf Mayo Ketschup;0.5;0.5;1;NA;0.5;0.02;13.11.csv;2015;13.11.2015
A10014;Kitchen 4;612;612;47;NA;13.02;28.13;13.11.csv;2015;13.11.2015
